station address,geographic coordinates
Canneto, POINT(45.6161 10.4782)
Tormini, POINT(45.6112 10.4860)
Bondone, POINT(45.6107 10.4648)
Soprazocco, POINT(45.5920 10.4715)
Cunettone, POINT(45.5865 10.5177)
Muscoline, POINT(45.5645 10.4597)
Polpenazze del Garda, POINT(45.5502 10.5041)
Castrezzone, POINT(45.5470 10.4660)
Prevalle, POINT(45.5517 10.4195)
Paitone, POINT(45.5541 10.4079)
Nuvolento, POINT(45.5448 10.3902)
Bovegno, POINT(45.7943 10.2763)
Pezzaze, POINT(45.7752 10.2381)
Clusane, POINT(45.6623 10.0007)
Cremignane, POINT(45.6482 10.0186)
Corte Franca, POINT(45.6368 10.0097)
Persaga, POINT(45.6326 10.0783)
San Giovanni, POINT(45.6542 10.1396)
Brione, POINT(45.6436 10.1480)
Adro, POINT(45.6214 9.9594)
Via Provinciale, POINT(45.6193 9.9710)
Torbiato, POINT(45.6110 9.9840)
Borgonato, POINT(45.6219 10.0109)
Via Risorgimento, POINT(45.6094 10.0262)
Passirano, POINT(45.6004 10.0632)
Bornato, POINT(45.5934 10.0394)
Calino, POINT(45.5905 10.0194)
Paderno Franciacorta, POINT(45.5870 10.0799)
Vallosa, POINT(45.5793 10.0672)
Rodengo, POINT( 45.5893 10.1098)
Cazzago San Martno, POINT(45.5825 10.0256)
Via Collegio, POINT(45.5662 10.1161)
Mandolossa, POINT(45.5492 10.1510)
Villaggio Violino, POINT(45.5411 10.1697)
Via Giuseppe Zola, POINT(45.5809 10.2275)
Valio Terme, POINT(45.6103 10.3905)
Caino, POINT(45.6122 10.3155)
Via Monte Grappa, POINT(45.5878 10.2949)
Castello, POINT(45.5752 10.3410)
Zuzurle, POINT(45.5745 10.3556)
Serle, POINT(45.5713 10.3678)
Crociale, POINT(45.5479 10.5339)
Bottengo, POINT(45.5339 10.4765)
Mocassina, POINT(45.5210 10.4201)
Carzago Riviera, POINT(45.5255 10.4633)
Calvagese della Riviera, POINT(45.5412 10.4459)
Via Remato, POINT(45.4853 10.5022)
Parco Fornaci, POINT(45.4849 10.4965)
Sedena, POINT(45.4865 10.4724)
Nuova Padana Superiore, POINT(45.4747 10.4689)
Ponte San Marco, POINT(45.4752 10.4095)
Calcinato, POINT(45.4530 10.4164)
Santellone, POINT(45.5489 9.8936)
San Pietro, POINT(45.5614 9.9263)
Via Trento, POINT(45.5764 10.0904)
Cellatica, POINT(45.5842 10.1800)
Via dello Zoccolo, POINT(45.5555 10.1865)
Via Attilio Franchi, POINT(45.5539 10.2115)
Crocifissa di Rosa, POINT(45.5460 10.2294)
Elnos, POINT(45.5352 10.1589)
Via Fura, POINT(45.5284 10.1829)
Via Labirinto, POINT(45.5214 10.1941)
Via Settimo, POINT(45.5143 10.1883)
Traversa seconda, POINT(45.5074 10.1900)
Via Repubblica Argentina, POINT(45.5240 10.2231)
Via Gorizia, POINT(45.5064 10.1031)
Via Donatori di Sangue, POINT(45.5080 10.1050)
Via Don Salvoni, POINT(45.5069 10.1039)
Via Torbole, POINT(45.4980 10.1372)
Viale Lombardia, POINT(45.5003 10.1469)
Via Onzato, POINT(45.5011 10.1489)
Via Umberto, POINT(45.4820 10.1723)
Via don Fracesco Maestrini, POINT(45.4736 10.1775)
Via Fiume, POINT(45.4643 10.1743)
Via Guglielmo Marconi, POINT(45.4608 10.1805)
Via Fornaci, POINT(45.4847 10.1495)
Via Chiesa, POINT(45.4737 10.1308)
Via Morari, POINT( 45.4564 10.1316)
Via Tese, POINT(45.4528 10.1357)
Via Vittorio Veneto, POINT(45.4525 10.1171)
Via Milano, POINT(45.4548 10.1157)
Via Papa Giovanni Paolo II, POINT(45.4548 10.0838)
Via D. Chiesa, POINT(45.4483 10.0817)
Variante SP4, POINT(45.4472 10.0762)
Via Galileo Galilei, POINT(45.4557 10.0559)
Via Don Angelo Paracchini, POINT(45.4558 10.0497)
Via Quattro Novembre, POINT(45.4508 10.0531)
Via Breda, POINT(45.4279 10.0403)
Via Aldo Moro, POINT(45.4459 10.0090)
Via per Comezzano, POINT(45.4321 9.9902)
Via Santa Maria, POINT(45.4353 9.9972)
Via Ortaglia, POINT(45.4290 9.9920)
Via Lavini, POINT(45.4277 9.9839)
Cremezzano, POINT(45.3813 10.0171)
San Paolo, POINT(45.3688 10.0270)
Via Solferino, POINT(45.4307 10.1755)
Via Antonio Gramsci, POINT(45.4358 10.1808)
Via degli Artigli, POINT(45.4213 10.1933)
Autostrada dei Vini, POINT(45.4232 10.1889)
Via Cesare Battisti, POINT(45.4054 10.0547)
Via Silvio Pellico, POINT(45.4118 9.9936)
Cremezzano, POINT(45.3813 10.0171)
Via San Rocco, POINT(45.3688 10.0270)
Via Galanti, POINT(45.3324 10.1539)
Viale Europa, POINT(45.3100 10.1491)
Via Don Seraffino Ronchi zero volt, POINT(45.3100 10.1491)
Via Brescia, POINT(45.3045 10.2108)
Via Guglielmo Marconi, POINT(45.3018 10.2094)
Via Finiletti, POINT(45.295 10.2096)
Collio, POINT(45.8118 10.3343)
Villa di Sopra, POINT(45.5887 10.2141)
Via Trieste, POINT(45.5816 10.2102)
Via Gaetano Salvemini, POINT(45.5812 10.2079)
Via Undicesima, POINT(45.5839 10.2334)
Via Diciannovesima, POINT(45.5840 10.2298)
Via Settima, POINT(45.5846 10.2375)
Via Conicchio, POINT(45.5805 10.2370)
Via Italo Svevo, POINT(45.5710 10.2188)
Via Carlo Fisogni, POINT(45.5759 10.2306)
Via della Pendolina, POINT(45.5693 10.2083)
Via Interna, POINT(45.5646 10.2035)
Via Mario Rigamonti, POINT(45.5678 10.2369)
Via Fontane, POINT(45.5705 10.2421)
Via Ottaviano Montini, POINT(45.5653 10.2450)
Via del Lazzaretto, POINT(45.5569 10.2412)
Piazzale Spedali Civili, POINT(45.5550 10.2331)
Botticino Sera, POINT(45.5354 10.3037)
Botticino Mattina, POINT(45.5418 10.3244)
Via Molini, POINT(45.5384 10.3057)
Via Fratelli Paglia, POINT(45.5035 10.3418)
Via Feniletti, POINT(45.4986 10.3597)
Via Riviera, POINT(45.5089 10.3724)
Fornasette, POINT(45.4534 10.2705)
Fascia D'oro, POINT(45.4565 10.3261)
Via Ventiquattro Maggio, POINT(45.4086 10.2715)
Via Cristoforo Colombo, POINT(45.4104 10.2694)
Strada Gasparina, POINT(45.4023 10.1521)
Castelletto, POINT(45.3302 10.2370)
